startID,stopID,startNode,stopNode,routes,distance
209,199,A001,A003,A,12
203,199,A002,A003,A,9
199,192,A003,A004,A,13
192,195,A004,A005,A,4
192,184,A005,A006,A,12
184,172,A006,A007,A,20
172,169,A007,A008,A,3
169,166,A008,A009,A:E,5
166,162,A009,A010,A:E,5
162,143,A010,A011,A,37
278,279,E001,E002,E:J,1
279,162,E002,E003,E,37
169,171,E005,E006,E,2
279,184,J002,J003,J,23
184,172,J003,J004,J,26
172,107,J004,J005,J,1
138,184,L001,L002,L,10
184,166,L002,L003,L,31
